Identifiant arc,Libelle,Identifiant noeud amont,Identifiant noeud aval,cost
5765,Bd_Pasteur,3016,3015,12.708059828178921
5266,PE_Poterne,457,478,
6442,Neuve_Tolbiac,3331,2654,13.614339702900148
5145,Joseph_Kessel,2712,816,9.41398833483615
375,St_Antoine,219,218,4.005851729211237
527,Bd_de_Strasbourg,313,314,12.140002531681562
5334,PI_Vincennes,533,532,456.88633802548156
4222,AV_Friedland,2264,2266,8.503943529792783
5765,Bd_Pasteur,3016,3015,15.277801594101893
5334,PI_Vincennes,533,532,395.8651574862439
5266,PE_Poterne,457,478,
1970,Reaumur,2159,2694,15.820385018195207
5481,Bagnolet_bretelle_5,2877,2878,30.315790477331284
6442,Neuve_Tolbiac,3331,2654,17.10435305795029
5145,Joseph_Kessel,2712,816,8.835401206531794
376,St_Antoine,220,219,5.322717221459089
527,Bd_de_Strasbourg,313,314,11.94761185876214
5334,PI_Vincennes,533,532,287.0111113824021
4222,AV_Friedland,2264,2266,13.853501545313167
5334,PI_Vincennes,533,532,407.63399614375595
5266,PE_Poterne,457,478,444.7669650251571
5481,Bagnolet_bretelle_5,2877,2878,33.64718312549689
5145,Joseph_Kessel,2712,816,0.09455807463375523
376,St_Antoine,220,219,9.538539295666276
527,Bd_de_Strasbourg,313,314,12.663289888592814
5330,PE_Lagny,534,817,
1920,Av_de_Clichy,2040,2039,4.730940353649832
5334,PI_Vincennes,533,532,264.12682852950684
5266,PE_Poterne,457,478,167.78761328599313
5481,Bagnolet_bretelle_5,2877,2878,33.57035631291165
5145,Joseph_Kessel,2712,816,0.0993862420530788
376,St_Antoine,220,219,3.0504770281692912
527,Bd_de_Strasbourg,313,314,12.377258632856392
5330,PE_Lagny,534,817,426.68107926644007
1920,Av_de_Clichy,2040,2039,0.07156956486511862
5330,PE_Lagny,534,817,
5266,PE_Poterne,457,478,0.2939434850364368
5481,Bagnolet_bretelle_5,2877,2878,32.27257542642942
5145,Joseph_Kessel,2712,816,9.07239595612972
376,St_Antoine,220,219,0.06819917153677756
5330,PE_Lagny,534,817,
5266,PE_Poterne,457,478,274.55312781594336
1920,Av_de_Clichy,2040,2039,0.05938281443155763
5330,PE_Lagny,534,817,379.6586430290874
5266,PE_Poterne,457,478,40.5602643735073
4188,Bd_Kellermann,2244,458,10.310556535173939
5481,Bagnolet_bretelle_5,2877,2878,19.060654696084644
5019,Pt_de_Tolbiac,2654,816,18.87506265682269
376,St_Antoine,220,219,6.750243727267011
5330,PE_Lagny,534,817,356.8036772584886
5266,PE_Poterne,457,478,261.15713039394274
5409,PI_Revolte,2265,2086,0.23969880721682138
1411,Av_Gambetta,719,704,22.18316928449633
1920,Av_de_Clichy,2040,2039,0.06459920557211209
5330,PE_Lagny,534,817,392.4001573395594
5266,PE_Poterne,457,478,38.85835969048609
4189,Rivoli,2245,169,
5481,Bagnolet_bretelle_5,2877,2878,21.60684355802545
5019,Pt_de_Tolbiac,2654,816,16.9759922731104
376,St_Antoine,220,219,3.5354427305270963
5330,PE_Lagny,534,817,386.81098235198056
5266,PE_Poterne,457,478,
5409,PI_Revolte,2265,2086,29.730578300178156
1411,Av_Gambetta,719,704,21.60550421473855
1920,Av_de_Clichy,2040,2039,0.07748574710406114
5330,PE_Lagny,534,817,330.234572717476
5266,PE_Poterne,457,478,47.335668704111136
4201,Bd_Berthier,2250,3658,8.58455890935061
5480,SI_A3_bretelle_2,2834,2878,0.2640293099676742
5019,Pt_de_Tolbiac,2654,816,20.19248488885467
376,St_Antoine,220,219,6.573661042894967
1355,Bd_Voltaire,699,720,17.65353318498166
5330,PE_Lagny,534,817,263.2445003733367
5266,PE_Poterne,457,478,
5409,PI_Revolte,2265,2086,45.311822696817075
1411,Av_Gambetta,719,704,9.496810533706768
1920,Av_de_Clichy,2040,2039,5.129452814203355
5266,PE_Poterne,457,478,47.81029213276865
5480,SI_A3_bretelle_2,2834,2878,33.8977978981603
5019,Pt_de_Tolbiac,2654,816,18.202822317583678
376,St_Antoine,220,219,4.005851729211237
1355,Bd_Voltaire,699,720,12.251909273483498
5266,PE_Poterne,457,478,338.35774459896675
5409,PI_Revolte,2265,2086,32.959424942345386
1411,Av_Gambetta,719,704,9.78289996738774
6642,Pyrenees,3439,725,24.15609963249974
5333,PI_Lagny,773,533,
5266,PE_Poterne,457,478,0.3029912796646384
5480,SI_A3_bretelle_2,2834,2878,0.20632528640515066
5020,Pt_de_Tolbiac,816,2654,20.966006450322254
5019,Pt_de_Tolbiac,2654,816,18.70434518522736
5266,PE_Poterne,457,478,
5409,PI_Revolte,2265,2086,
1411,Av_Gambetta,719,704,21.040762392820646
6642,Pyrenees,3439,725,23.667017134999504
5204,Lyon,243,2743,16.241740395263808
5333,PI_Lagny,773,533,
5266,PE_Poterne,457,478,291.0062387777659
5480,SI_A3_bretelle_2,2834,2878,0.18334459321022709
5020,Pt_de_Tolbiac,816,2654,14.890902432984033
5019,Pt_de_Tolbiac,2654,816,19.887012570750233
5266,PE_Poterne,457,478,284.14890786974104
1411,Av_Gambetta,719,704,13.067121490160194
6642,Pyrenees,3439,725,11.73439149873864
5204,Lyon,243,2743,15.158531357026432
