NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240301;6.0;1;3.9;1;654;9;10.2;1;1436;9;6.5;1;7.1;1;6.3;1;3.2;9;3.6;9;;;;;4.6;9;;;;;;;;;;;;;15.0;9;360;9;1118;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240302;13.5;1;4.1;1;418;9;7.4;1;1436;9;5.5;1;5.8;1;3.3;1;3.2;9;3.7;9;;;;;2.8;9;;;;;;;;;;;;;10.0;9;360;9;1100;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240303;0.5;1;4.0;1;718;9;8.6;1;1530;9;5.4;1;6.3;1;4.6;1;2.1;9;3.6;9;;;;;1.4;9;;;;;;;;;;;;;6.0;9;360;9;1524;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240304;0.5;1;-0.2;1;418;9;10.3;1;1400;9;5.8;1;5.1;1;10.5;1;-4.0;9;-1.8;9;;;;;1.9;9;;;;;;;;;;;;;9.0;9;360;9;2030;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240305;4.5;1;5.5;1;48;9;10.0;1;1412;9;6.3;1;7.8;1;4.5;1;4.8;9;5.0;9;;;;;2.9;9;;;;;;;;;;;;;8.0;9;360;9;1306;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240306;0.0;1;4.0;1;630;9;9.8;1;1448;9;6.2;1;6.9;1;5.8;1;1.9;9;3.1;9;;;;;1.2;9;;;;;;;;;;;;;4.0;9;90;9;1000;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240307;0.5;1;1.2;1;448;9;12.2;1;1448;9;6.8;1;6.7;1;11.0;1;-4.0;9;-1.1;9;;;;;2.7;9;;;;;;;;;;;;;8.0;9;90;9;1548;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240308;0.0;1;2.4;1;612;9;12.8;1;1518;9;7.9;1;7.6;1;10.4;1;1.3;9;2.0;9;;;;;3.8;9;;;;;;;;;;;;;12.0;9;90;9;2148;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240309;5.0;1;4.9;1;642;9;12.8;1;1136;9;7.9;1;8.9;1;7.9;1;3.3;9;4.3;9;;;;;2.6;9;;;;;;;;;;;;;8.0;9;360;9;1224;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240310;0.0;1;6.5;1;748;9;9.9;1;1554;9;7.3;1;8.2;1;3.4;1;5.9;9;6.0;9;;;;;1.6;9;;;;;;;;;;;;;4.0;9;360;9;1636;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240311;1.5;1;4.3;1;218;9;12.3;1;1130;9;7.7;1;8.3;1;8.0;1;0.0;9;3.2;9;;;;;2.5;9;;;;;;;;;;;;;9.0;9;360;9;1524;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240312;6.5;1;6.4;1;718;9;11.2;1;1754;9;8.9;1;8.8;1;4.8;1;5.7;9;6.2;9;;;;;2.7;9;;;;;;;;;;;;;8.0;9;360;9;1548;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240313;0.0;1;9.3;1;424;9;12.3;1;1454;9;10.4;1;10.8;1;3.0;1;8.2;9;8.8;9;;;;;2.2;9;;;;;;;;;;;;;7.0;9;360;9;1454;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240314;0.5;1;5.6;1;636;9;17.2;1;1530;9;11.7;1;11.4;1;11.6;1;0.4;9;4.0;9;;;;;2.4;9;;;;;;;;;;;;;8.0;9;360;9;2354;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240315;6.5;1;11.5;1;1724;9;15.7;1;1442;9;12.7;1;13.6;1;4.2;1;10.6;9;10.6;9;;;;;4.0;9;;;;;;;;;;;;;10.0;9;360;9;1430;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240316;0.5;1;9.0;1;654;9;14.4;1;1530;9;11.2;1;11.7;1;5.4;1;7.9;9;8.3;9;;;;;2.1;9;;;;;;;;;;;;;9.0;9;270;9;230;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240317;2.5;1;9.5;1;518;9;14.6;1;1606;9;11.6;1;12.1;1;5.1;1;8.1;9;8.9;9;;;;;1.7;9;;;;;;;;;;;;;6.0;9;230;9;1348;9;;;;;;;;
